# t_ps  r2_target_Ang  dist_Ang  force_kcal_per_mol_per_Ang  work_cum_kcal_per_mol
1.987999999999999636e+04 4.815999999999999659e+01 4.857712000000000074e+01 -6.006579999999999586e+00 4.796725000000001415e+01
1.989000000000000000e+04 4.817000000000000171e+01 4.834761999999999915e+01 -2.557700000000000085e+00 4.792635000000001355e+01
1.989999999999999636e+04 4.817999999999999972e+01 4.839256999999999920e+01 -3.060950000000000060e+00 4.787432000000001153e+01
1.990999999999999636e+04 4.818999999999999773e+01 4.817347000000000179e+01 2.380800000000000138e-01 4.785071000000001362e+01
1.992000000000000000e+04 4.820000000000000284e+01 4.832233999999999696e+01 -1.761710000000000109e+00 4.784618000000001103e+01
1.993000000000000000e+04 4.821000000000000085e+01 4.823691999999999780e+01 -3.876200000000000201e-01 4.783065000000001277e+01
1.993999999999999636e+04 4.821999999999999886e+01 4.823526999999999987e+01 -2.199200000000000044e-01 4.783971000000001084e+01
1.994999999999999636e+04 4.822999999999999687e+01 4.793108999999999753e+01 4.304310000000000080e+00 4.786626000000001113e+01
1.996000000000000000e+04 4.824000000000000199e+01 4.788192999999999699e+01 5.156189999999999607e+00 4.790020000000001232e+01
1.997000000000000000e+04 4.825000000000000000e+01 4.824757999999999925e+01 3.490000000000000047e-02 4.793647000000001412e+01
1.997999999999999636e+04 4.825999999999999801e+01 4.835943999999999932e+01 -1.431910000000000016e+00 4.792996000000001544e+01
1.999000000000000000e+04 4.827000000000000313e+01 4.837239999999999895e+01 -1.474509999999999987e+00 4.790170000000001238e+01
2.000000000000000000e+04 4.828000000000000114e+01 4.861892000000000280e+01 -4.880489999999999995e+00 4.790170000000001238e+01
2.000999999999999636e+04 4.828999999999999915e+01 4.858789000000000158e+01 -4.289600000000000080e+00 4.787220000000001363e+01
2.001999999999999636e+04 4.829999999999999716e+01 4.870636999999999972e+01 -5.851679999999999993e+00 4.782165000000001243e+01
2.003000000000000000e+04 4.831000000000000227e+01 4.836364999999999981e+01 -7.726100000000000190e-01 4.779673000000001082e+01
2.004000000000000000e+04 4.832000000000000028e+01 4.842517999999999745e+01 -1.514629999999999921e+00 4.777955000000001462e+01
2.004999999999999636e+04 4.832999999999999829e+01 4.837462000000000018e+01 -6.425199999999999800e-01 4.777688000000001267e+01
2.006000000000000364e+04 4.834000000000000341e+01 4.851008999999999816e+01 -2.449300000000000033e+00 4.775240000000001572e+01
2.007000000000000000e+04 4.835000000000000142e+01 4.850240999999999758e+01 -2.194770000000000110e+00 4.773190000000001021e+01
2.007999999999999636e+04 4.835999999999999943e+01 4.845620999999999867e+01 -1.385369999999999990e+00 4.772251000000001397e+01
2.008999999999999636e+04 4.836999999999999744e+01 4.810294999999999987e+01 3.845579999999999998e+00 4.776381000000001364e+01
2.010000000000000000e+04 4.838000000000000256e+01 4.817965000000000231e+01 2.884980000000000100e+00 4.777963000000001159e+01
2.011000000000000000e+04 4.839000000000000057e+01 4.812926000000000215e+01 3.754589999999999872e+00 4.780621000000001430e+01
2.011999999999999636e+04 4.839999999999999858e+01 4.830664000000000158e+01 1.344340000000000090e+00 4.783491000000001492e+01
2.012999999999999636e+04 4.840999999999999659e+01 4.856416999999999717e+01 -2.220079999999999831e+00 4.781914000000001153e+01
2.014000000000000000e+04 4.842000000000000171e+01 4.848375000000000057e+01 -9.179599999999999982e-01 4.778430000000000888e+01
2.014999999999999636e+04 4.842999999999999972e+01 4.845573000000000263e+01 -3.705499999999999905e-01 4.777227000000001311e+01
2.015999999999999636e+04 4.843999999999999773e+01 4.859877999999999787e+01 -2.286369999999999791e+00 4.777528000000000930e+01
2.017000000000000000e+04 4.845000000000000284e+01 4.885593999999999681e+01 -5.845469999999999722e+00 4.773463000000000989e+01
2.018000000000000000e+04 4.846000000000000085e+01 4.862057000000000073e+01 -2.312230000000000008e+00 4.768852000000001112e+01
2.018999999999999636e+04 4.846999999999999886e+01 4.833990000000000009e+01 1.873450000000000060e+00 4.769205000000000894e+01
2.019999999999999636e+04 4.847999999999999687e+01 4.857321999999999917e+01 -1.342430000000000012e+00 4.770934000000001163e+01
2.021000000000000000e+04 4.849000000000000199e+01 4.884398999999999802e+01 -5.097459999999999880e+00 4.769088000000001415e+01
2.022000000000000000e+04 4.850000000000000000e+01 4.897478000000000264e+01 -6.836789999999999701e+00 4.764388000000001000e+01
2.022999999999999636e+04 4.850999999999999801e+01 4.866848000000000241e+01 -2.282169999999999810e+00 4.760106000000001103e+01
2.024000000000000000e+04 4.852000000000000313e+01 4.908070000000000022e+01 -8.074030000000000484e+00 4.757312000000001007e+01
2.025000000000000000e+04 4.853000000000000114e+01 4.885614000000000345e+01 -4.696349999999999802e+00 4.752814000000001471e+01
2.025999999999999636e+04 4.853999999999999915e+01 4.889965000000000117e+01 -5.178919999999999746e+00 4.748650000000001370e+01
2.026999999999999636e+04 4.854999999999999716e+01 4.836538000000000181e+01 2.658560000000000034e+00 4.745621000000001288e+01
2.028000000000000000e+04 4.856000000000000227e+01 4.840812999999999988e+01 2.186879999999999935e+00 4.748823000000001571e+01
2.029000000000000000e+04 4.857000000000000028e+01 4.883879999999999910e+01 -3.870730000000000004e+00 4.746470000000001477e+01
2.029999999999999636e+04 4.857999999999999829e+01 4.898089999999999833e+01 -5.772899999999999920e+00 4.743859000000001203e+01
2.031000000000000364e+04 4.859000000000000341e+01 4.840628000000000242e+01 2.645509999999999806e+00 4.742811000000001087e+01
2.032000000000000000e+04 4.860000000000000142e+01 4.862044999999999817e+01 -2.944499999999999895e-01 4.745637000000001393e+01
2.032999999999999636e+04 4.860999999999999943e+01 4.848474000000000217e+01 1.803790000000000004e+00 4.747072000000001424e+01
2.033999999999999636e+04 4.861999999999999744e+01 4.874190999999999718e+01 -1.755540000000000100e+00 4.746449000000001206e+01
2.035000000000000000e+04 4.863000000000000256e+01 4.868641999999999825e+01 -8.124900000000000455e-01 4.744337000000001581e+01
2.036000000000000000e+04 4.864000000000000057e+01 4.896318000000000126e+01 -4.653769999999999740e+00 4.740658000000001238e+01
2.036999999999999636e+04 4.864999999999999858e+01 4.879124000000000194e+01 -2.033840000000000092e+00 4.736907000000001489e+01
2.037999999999999636e+04 4.865999999999999659e+01 4.894210000000000349e+01 -4.062210000000000321e+00 4.735951000000001443e+01
2.039000000000000000e+04 4.867000000000000171e+01 4.847030999999999779e+01 2.875570000000000181e+00 4.736580000000001434e+01
2.039999999999999636e+04 4.867999999999999972e+01 4.854739000000000004e+01 1.909620000000000095e+00 4.739545000000001096e+01
2.040999999999999636e+04 4.868999999999999773e+01 4.877884999999999849e+01 -1.279400000000000093e+00 4.739770000000001460e+01
2.042000000000000000e+04 4.870000000000000284e+01 4.867985999999999791e+01 2.900900000000000145e-01 4.737216000000001515e+01
2.043000000000000000e+04 4.871000000000000085e+01 4.878750000000000142e+01 -1.116039999999999921e+00 4.735340000000001481e+01
2.043999999999999636e+04 4.871999999999999886e+01 4.878797000000000139e+01 -9.787900000000000489e-01 4.735024000000001365e+01
2.044999999999999636e+04 4.872999999999999687e+01 4.866676999999999964e+01 9.104400000000000270e-01 4.734596000000001226e+01
2.046000000000000000e+04 4.874000000000000199e+01 4.871739000000000175e+01 3.255199999999999760e-01 4.735396000000001493e+01
2.047000000000000000e+04 4.875000000000000000e+01 4.855689999999999884e+01 2.780640000000000001e+00 4.737247000000001407e+01
2.047999999999999636e+04 4.875999999999999801e+01 4.849725000000000108e+01 3.783570000000000100e+00 4.739929000000001480e+01
2.049000000000000000e+04 4.877000000000000313e+01 4.850704999999999956e+01 3.786459999999999937e+00 4.742998000000001468e+01
2.050000000000000000e+04 4.878000000000000114e+01 4.849607000000000312e+01 4.088589999999999947e+00 4.747116000000001179e+01
2.050999999999999636e+04 4.878999999999999915e+01 4.838512999999999664e+01 5.830149999999999721e+00 4.751773000000001446e+01
2.051999999999999636e+04 4.879999999999999716e+01 4.846419000000000210e+01 4.835720000000000240e+00 4.760166000000000963e+01
2.053000000000000000e+04 4.881000000000000227e+01 4.895877999999999730e+01 -2.142419999999999991e+00 4.759680000000000888e+01
2.054000000000000000e+04 4.882000000000000028e+01 4.885228000000000037e+01 -4.647899999999999809e-01 4.756975000000001330e+01
2.054999999999999636e+04 4.882999999999999829e+01 4.887698999999999927e+01 -6.766799999999999482e-01 4.758119000000001364e+01
2.056000000000000364e+04 4.884000000000000341e+01 4.869693999999999789e+01 2.060130000000000017e+00 4.757825000000001125e+01
2.057000000000000000e+04 4.885000000000000142e+01 4.846253999999999706e+01 5.579399999999999693e+00 4.760644000000001341e+01
2.057999999999999636e+04 4.885999999999999943e+01 4.854144999999999754e+01 4.587049999999999628e+00 4.766365000000001118e+01
2.058999999999999636e+04 4.886999999999999744e+01 4.883599000000000245e+01 4.897900000000000031e-01 4.768729000000001150e+01
2.060000000000000000e+04 4.888000000000000256e+01 4.890755999999999659e+01 -3.968200000000000061e-01 4.768100000000001160e+01
2.061000000000000000e+04 4.889000000000000057e+01 4.892434999999999690e+01 -4.946499999999999786e-01 4.768344000000001159e+01
2.061999999999999636e+04 4.889999999999999858e+01 4.898743000000000336e+01 -1.258960000000000079e+00 4.768229000000000894e+01
2.062999999999999636e+04 4.890999999999999659e+01 4.885533000000000214e+01 7.872700000000000253e-01 4.769355000000000899e+01
2.064000000000000000e+04 4.892000000000000171e+01 4.883026999999999873e+01 1.292110000000000092e+00 4.770725000000000904e+01
2.064999999999999636e+04 4.892999999999999972e+01 4.882862999999999687e+01 1.459719999999999906e+00 4.771628000000001180e+01
2.065999999999999636e+04 4.893999999999999773e+01 4.897635999999999967e+01 -5.235999999999999543e-01 4.771804000000000912e+01
2.067000000000000000e+04 4.895000000000000284e+01 4.889607999999999777e+01 7.763999999999999790e-01 4.771674000000001570e+01
2.068000000000000000e+04 4.896000000000000085e+01 4.890346999999999866e+01 8.140100000000000113e-01 4.772412000000001342e+01
2.068999999999999636e+04 4.896999999999999886e+01 4.892159999999999798e+01 6.969699999999999784e-01 4.771688000000001040e+01
2.069999999999999636e+04 4.897999999999999687e+01 4.931278999999999968e+01 -4.792200000000000237e+00 4.770387000000000910e+01
2.071000000000000000e+04 4.899000000000000199e+01 4.923975999999999686e+01 -3.596579999999999888e+00 4.767773000000001105e+01
2.072000000000000000e+04 4.900000000000000000e+01 4.865926999999999936e+01 4.906530000000000058e+00 4.765606000000001075e+01
2.072999999999999636e+04 4.900999999999999801e+01 4.892275000000000063e+01 1.256469999999999976e+00 4.768553000000001418e+01
2.074000000000000000e+04 4.902000000000000313e+01 4.918242000000000047e+01 -2.338810000000000056e+00 4.768413000000001034e+01
